path_idx	node	event	event_count	C_ancestor	C_derived	Migration	BigL	hetA	fixed	hetB	hetAB
63	3	Migration	1	0	3	1	1	2	0	2	0
63	11	C_derived	4	0	6	0	1	2	0	2	0
63	20	C_derived	1	0	3	0	1	1	0	1	1
63	24	C_derived	1	0	1	0	1	2	0	0	0
63	22	BigL	1	0	0	0	1	0	0	0	0
63	LCA	LCA	0	0	0	0	0	0	0	0	0
64	0	Migration	2	1	1	2	1	2	0	2	0
64	3	Migration	1	0	3	1	1	2	0	2	0
64	11	C_derived	4	0	6	0	1	2	0	2	0
64	20	C_derived	1	0	3	0	1	1	0	1	1
64	24	BigL	1	0	1	0	1	2	0	0	0
64	19	C_ancestor	1	1	0	0	0	2	0	0	0
64	LCA	LCA	0	0	0	0	0	0	0	0	0
65	0	Migration	2	1	1	2	1	2	0	2	0
65	3	Migration	1	0	3	1	1	2	0	2	0
65	11	C_derived	4	0	6	0	1	2	0	2	0
65	20	BigL	1	0	3	0	1	1	0	1	1
65	12	C_ancestor	1	3	0	0	0	1	0	1	1
65	16	C_ancestor	1	1	0	0	0	0	0	2	0
65	LCA	LCA	0	0	0	0	0	0	0	0	0
66	0	Migration	2	1	1	2	1	2	0	2	0
66	3	Migration	1	0	3	1	1	2	0	2	0
66	11	C_derived	4	0	6	0	1	2	0	2	0
66	20	BigL	1	0	3	0	1	1	0	1	1
66	12	C_ancestor	1	3	0	0	0	1	0	1	1
66	21	C_ancestor	1	1	0	0	0	0	0	0	2
66	LCA	LCA	0	0	0	0	0	0	0	0	0
67	0	Migration	2	1	1	2	1	2	0	2	0
67	3	Migration	1	0	3	1	1	2	0	2	0
67	11	C_derived	4	0	6	0	1	2	0	2	0
67	20	BigL	1	0	3	0	1	1	0	1	1
67	12	C_ancestor	1	3	0	0	0	1	0	1	1
67	19	C_ancestor	1	1	0	0	0	2	0	0	0
67	LCA	LCA	0	0	0	0	0	0	0	0	0
68	0	Migration	2	1	1	2	1	2	0	2	0
68	3	Migration	1	0	3	1	1	2	0	2	0
68	11	C_derived	1	0	6	0	1	2	0	2	0
68	18	C_derived	1	0	3	0	1	2	1	0	0
68	13	C_derived	1	0	1	0	1	0	2	0	0
68	22	BigL	1	0	0	0	1	0	0	0	0
68	LCA	LCA	0	0	0	0	0	0	0	0	0
69	0	Migration	2	1	1	2	1	2	0	2	0
69	3	Migration	1	0	3	1	1	2	0	2	0
69	11	C_derived	1	0	6	0	1	2	0	2	0
69	18	C_derived	1	0	3	0	1	2	1	0	0
69	13	BigL	1	0	1	0	1	0	2	0	0
69	14	C_ancestor	1	1	0	0	0	0	2	0	0
69	LCA	LCA	0	0	0	0	0	0	0	0	0
70	0	Migration	2	1	1	2	1	2	0	2	0
70	3	Migration	1	0	3	1	1	2	0	2	0
70	11	C_derived	1	0	6	0	1	2	0	2	0
70	18	C_derived	2	0	3	0	1	2	1	0	0
70	24	C_derived	1	0	1	0	1	2	0	0	0
70	22	BigL	1	0	0	0	1	0	0	0	0
70	LCA	LCA	0	0	0	0	0	0	0	0	0
71	0	Migration	2	1	1	2	1	2	0	2	0
71	3	Migration	1	0	3	1	1	2	0	2	0
71	11	C_derived	1	0	6	0	1	2	0	2	0
71	18	C_derived	2	0	3	0	1	2	1	0	0
71	24	BigL	1	0	1	0	1	2	0	0	0
71	19	C_ancestor	1	1	0	0	0	2	0	0	0
71	LCA	LCA	0	0	0	0	0	0	0	0	0
72	0	Migration	2	1	1	2	1	2	0	2	0
72	3	Migration	1	0	3	1	1	2	0	2	0
72	11	C_derived	1	0	6	0	1	2	0	2	0
72	18	BigL	1	0	3	0	1	2	1	0	0
72	9	C_ancestor	1	3	0	0	0	2	1	0	0
72	14	C_ancestor	1	1	0	0	0	0	2	0	0
72	LCA	LCA	0	0	0	0	0	0	0	0	0
73	0	Migration	2	1	1	2	1	2	0	2	0
73	3	Migration	1	0	3	1	1	2	0	2	0
73	11	C_derived	1	0	6	0	1	2	0	2	0
73	18	BigL	1	0	3	0	1	2	1	0	0
73	9	C_ancestor	2	3	0	0	0	2	1	0	0
73	19	C_ancestor	1	1	0	0	0	2	0	0	0
73	LCA	LCA	0	0	0	0	0	0	0	0	0
74	0	Migration	2	1	1	2	1	2	0	2	0
74	3	Migration	1	0	3	1	1	2	0	2	0
74	11	BigL	1	0	6	0	1	2	0	2	0
74	4	C_ancestor	1	6	0	0	0	2	0	2	0
74	7	C_ancestor	2	3	0	0	0	0	1	2	0
74	16	C_ancestor	1	1	0	0	0	0	0	2	0
74	LCA	LCA	0	0	0	0	0	0	0	0	0
75	0	Migration	2	1	1	2	1	2	0	2	0
75	3	Migration	1	0	3	1	1	2	0	2	0
75	11	BigL	1	0	6	0	1	2	0	2	0
75	4	C_ancestor	1	6	0	0	0	2	0	2	0
75	7	C_ancestor	1	3	0	0	0	0	1	2	0
75	14	C_ancestor	1	1	0	0	0	0	2	0	0
75	LCA	LCA	0	0	0	0	0	0	0	0	0
76	0	Migration	2	1	1	2	1	2	0	2	0
76	3	Migration	1	0	3	1	1	2	0	2	0
76	11	BigL	1	0	6	0	1	2	0	2	0
76	4	C_ancestor	4	6	0	0	0	2	0	2	0
76	12	C_ancestor	1	3	0	0	0	1	0	1	1
76	16	C_ancestor	1	1	0	0	0	0	0	2	0
76	LCA	LCA	0	0	0	0	0	0	0	0	0
77	0	Migration	2	1	1	2	1	2	0	2	0
77	3	Migration	1	0	3	1	1	2	0	2	0
77	11	BigL	1	0	6	0	1	2	0	2	0
77	4	C_ancestor	4	6	0	0	0	2	0	2	0
77	12	C_ancestor	1	3	0	0	0	1	0	1	1
77	21	C_ancestor	1	1	0	0	0	0	0	0	2
77	LCA	LCA	0	0	0	0	0	0	0	0	0
78	0	Migration	2	1	1	2	1	2	0	2	0
78	3	Migration	1	0	3	1	1	2	0	2	0
78	11	BigL	1	0	6	0	1	2	0	2	0
78	4	C_ancestor	4	6	0	0	0	2	0	2	0
78	12	C_ancestor	1	3	0	0	0	1	0	1	1
78	19	C_ancestor	1	1	0	0	0	2	0	0	0
78	LCA	LCA	0	0	0	0	0	0	0	0	0
79	0	Migration	2	1	1	2	1	2	0	2	0
79	3	Migration	1	0	3	1	1	2	0	2	0
79	11	BigL	1	0	6	0	1	2	0	2	0
79	4	C_ancestor	1	6	0	0	0	2	0	2	0
79	9	C_ancestor	1	3	0	0	0	2	1	0	0
79	14	C_ancestor	1	1	0	0	0	0	2	0	0
79	LCA	LCA	0	0	0	0	0	0	0	0	0
80	0	Migration	2	1	1	2	1	2	0	2	0
80	3	Migration	1	0	3	1	1	2	0	2	0
80	11	BigL	1	0	6	0	1	2	0	2	0
80	4	C_ancestor	1	6	0	0	0	2	0	2	0
80	9	C_ancestor	2	3	0	0	0	2	1	0	0
80	19	C_ancestor	1	1	0	0	0	2	0	0	0
80	LCA	LCA	0	0	0	0	0	0	0	0	0
81	0	Migration	2	1	1	2	1	2	0	2	0
81	3	BigL	1	0	3	1	1	2	0	2	0
81	4	C_ancestor	1	6	0	0	0	2	0	2	0
81	7	C_ancestor	2	3	0	0	0	0	1	2	0
81	16	C_ancestor	1	1	0	0	0	0	0	2	0
81	LCA	LCA	0	0	0	0	0	0	0	0	0
82	0	Migration	2	1	1	2	1	2	0	2	0
82	3	BigL	1	0	3	1	1	2	0	2	0
82	4	C_ancestor	1	6	0	0	0	2	0	2	0
82	7	C_ancestor	1	3	0	0	0	0	1	2	0
82	14	C_ancestor	1	1	0	0	0	0	2	0	0
82	LCA	LCA	0	0	0	0	0	0	0	0	0
83	0	Migration	2	1	1	2	1	2	0	2	0
83	3	BigL	1	0	3	1	1	2	0	2	0
83	4	C_ancestor	4	6	0	0	0	2	0	2	0
83	12	C_ancestor	1	3	0	0	0	1	0	1	1
83	16	C_ancestor	1	1	0	0	0	0	0	2	0
83	LCA	LCA	0	0	0	0	0	0	0	0	0
84	0	Migration	2	1	1	2	1	2	0	2	0
84	3	BigL	1	0	3	1	1	2	0	2	0
84	4	C_ancestor	4	6	0	0	0	2	0	2	0
84	12	C_ancestor	1	3	0	0	0	1	0	1	1
84	21	C_ancestor	1	1	0	0	0	0	0	0	2
84	LCA	LCA	0	0	0	0	0	0	0	0	0
85	0	Migration	2	1	1	2	1	2	0	2	0
