path_idx	node_id	LCA	label	event	count	J_A_B	C_A	C_A_B	C_B	M_B_A	m_1	m_2	m_3	m_4
10	4	15	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
10	6	15	A=[a1,a1,b1];B=[b1]	C_A	2	1	3	0	0	1	2	2	0	0
10	24	15	A=[a1,a1+b1];B=[b1]	C_A	1	1	1	0	0	1	1	1	1	0
10	19	15	A=[a1+a1+b1];B=[b1]	M_B_A	1	1	0	0	0	1	2	0	0	0
10	15	15	A=[a1+a1+b1,b1]	C_A	1	1	1	0	0	0	2	0	0	0
11	4	15	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
11	6	15	A=[a1,a1,b1];B=[b1]	C_A	2	1	3	0	0	1	2	2	0	0
11	9	15	A=[a1,a1+b1];B=[b1]	M_B_A	1	1	1	0	0	1	1	1	1	0
11	19	15	A=[a1,a1+b1,b1]	C_A	1	1	3	0	0	0	1	1	1	0
11	15	15	A=[a1+a1+b1,b1]	C_A	1	1	1	0	0	0	2	0	0	0
12	4	15	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
12	6	15	A=[a1,a1,b1];B=[b1]	C_A	2	1	3	0	0	1	2	2	0	0
12	9	15	A=[a1,a1+b1];B=[b1]	M_B_A	1	1	1	0	0	1	1	1	1	0
12	20	15	A=[a1,a1+b1,b1]	C_A	1	1	3	0	0	0	1	1	1	0
12	15	15	A=[a1+b1,a1+b1]	C_A	1	1	1	0	0	0	0	0	2	0
13	4	15	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
13	6	15	A=[a1,a1,b1];B=[b1]	C_A	2	1	3	0	0	1	2	2	0	0
13	9	15	A=[a1,a1+b1];B=[b1]	M_B_A	1	1	1	0	0	1	1	1	1	0
13	13	15	A=[a1,a1+b1,b1]	C_A	1	1	3	0	0	0	1	1	1	0
13	15	15	A=[a1,a1+b1+b1]	C_A	1	1	1	0	0	0	0	2	0	0
14	4	15	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
14	7	15	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
14	8	15	A=[a1,a1,b1,b1]	C_A	1	1	6	0	0	0	2	2	0	0
14	19	15	A=[a1+a1,b1,b1]	C_A	2	1	3	0	0	0	2	0	0	1
14	15	15	A=[a1+a1+b1,b1]	C_A	1	1	1	0	0	0	2	0	0	0
15	4	15	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
15	7	15	A=[a1,a1,b1];B=[b1]	M_B_A	1	1	3	0	0	1	2	2	0	0
15	8	15	A=[a1,a1,b1,b1]	C_A	1	1	6	0	0	0	2	2	0	0
15	12	15	A=[a1+a1,b1,b1]	C_A	1	1	3	0	0	0	2	0	0	1
15	15	15	A=[a1+a1,b1+b1]	C_A	1	1	1	0	0	0	0	0	0	2
