path_idx	node_id	LCA	label	event	count	C_A	C_B	M_A_B	m_2	m_4
91	29	21	A=[a2,a2];B=[a1+a1]	M_A_B	2	1	0	2	2	1
91	16	21	A=[a2];B=[a1+a1,a2]	M_A_B	1	0	1	1	2	1
91	19	21	B=[a1+a1,a2,a2]	C_B	1	0	3	0	2	1
91	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
92	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
92	36	21	A=[a1,a2,a2];B=[a1]	M_A_B	1	3	0	3	4	0
92	28	21	A=[a2,a2];B=[a1,a1]	M_A_B	2	1	1	2	4	0
92	29	21	A=[a2];B=[a1,a1,a2]	C_B	1	0	3	1	4	0
92	31	21	A=[a2];B=[a1+a1,a2]	C_B	1	0	1	1	2	1
92	22	21	A=[a2];B=[a1+a1+a2]	M_A_B	1	0	0	1	1	0
92	21	21	B=[a1+a1+a2,a2]	C_B	1	0	1	0	1	0
93	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
93	36	21	A=[a1,a2,a2];B=[a1]	M_A_B	1	3	0	3	4	0
93	28	21	A=[a2,a2];B=[a1,a1]	M_A_B	2	1	1	2	4	0
93	29	21	A=[a2];B=[a1,a1,a2]	C_B	1	0	3	1	4	0
93	16	21	A=[a2];B=[a1+a1,a2]	M_A_B	1	0	1	1	2	1
93	22	21	B=[a1+a1,a2,a2]	C_B	2	0	3	0	2	1
93	21	21	B=[a1+a1+a2,a2]	C_B	1	0	1	0	1	0
94	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
94	36	21	A=[a1,a2,a2];B=[a1]	M_A_B	1	3	0	3	4	0
94	28	21	A=[a2,a2];B=[a1,a1]	M_A_B	2	1	1	2	4	0
94	29	21	A=[a2];B=[a1,a1,a2]	C_B	1	0	3	1	4	0
94	16	21	A=[a2];B=[a1+a1,a2]	M_A_B	1	0	1	1	2	1
